crime_type,date,time,latitude,longitude,location
Domestic Violence,11-11-2024,22:42:26,19.10375348,72.86960214,Andheri
Theft,20-12-2024,22:42:32,19.06763726,72.98622307,Navi Mumbai
Theft,04-09-2024,22:42:33,19.20886879,72.97921693,Thane
Domestic Violence,02-04-2023,22:42:33,18.91931063,72.82392314,Colaba
Burglary,17-07-2023,22:42:34,19.17294324,72.96719977,Thane
Drug Offense,27-07-2023,22:42:35,18.91278238,72.80094249,Colaba
Burglary,29-12-2023,22:42:36,19.16468201,72.96042482,Mulund
Fraud,10-09-2023,22:42:37,19.09171004,72.92451557,Ghatkopar
Drug Offense,20-10-2024,22:42:38,19.02564852,72.822503,Dadar
Domestic Violence,17-08-2023,22:42:39,19.22784275,72.84864163,Borivali
Murder,29-02-2024,22:42:40,19.17556707,72.98597198,Thane
Murder,02-11-2024,22:42:41,19.19822462,72.98345382,Thane
Fraud,30-05-2024,22:42:42,19.10704466,72.93669282,Ghatkopar
Murder,08-06-2023,22:42:42,19.17295063,72.96972341,Mulund
Domestic Violence,07-07-2024,22:42:44,19.12133013,72.82428961,Andheri
Burglary,06-07-2023,22:42:44,19.05639932,72.82513101,Bandra
Theft,22-08-2023,22:42:45,18.90210873,72.82943771,Colaba
Burglary,27-09-2024,22:42:46,19.16949086,72.94389942,Mulund
Domestic Violence,28-04-2023,22:42:47,19.10866896,72.84505095,Andheri
Fraud,17-05-2023,22:42:47,19.1774233,72.95910497,Mulund
Assault,22-04-2024,22:42:48,19.12171317,72.83725131,Andheri
Fraud,14-11-2024,22:42:49,19.00582759,72.83036948,Dadar
Murder,31-08-2023,22:42:50,19.12456516,72.85726889,Andheri
Fraud,20-04-2023,22:42:52,19.19779853,72.97212535,Thane
Drug Offense,17-10-2024,22:42:53,19.10736575,72.83029345,Andheri
Burglary,31-07-2023,22:42:54,18.92245017,72.80222611,Colaba
Murder,25-12-2024,22:42:54,19.07790602,72.96789385,Navi Mumbai
Assault,17-08-2023,22:42:55,19.11737261,72.84885913,Andheri
Assault,23-04-2023,22:42:56,19.06904579,72.8207328,Bandra
Domestic Violence,18-12-2023,22:42:57,18.91633252,72.81280522,Colaba
Fraud,10-03-2025,22:42:58,18.90799946,72.81498265,Colaba
Burglary,14-10-2023,22:42:59,19.16490473,72.95717539,Mulund
Fraud,13-05-2023,22:42:59,19.06466944,72.82382944,Bandra
Burglary,19-11-2023,22:43:01,19.20395049,72.95738276,Thane
Fraud,05-09-2024,22:43:02,19.00780153,72.83880257,Dadar
Drug Offense,26-03-2024,22:43:03,19.07162186,72.82070505,Bandra
Drug Offense,20-02-2024,22:43:04,19.17245672,72.99315384,Thane
Murder,20-03-2024,22:43:04,19.20161846,72.84848846,Borivali
Domestic Violence,06-03-2024,22:43:05,19.21196961,72.9625167,Thane
Murder,05-01-2025,22:43:07,19.23624338,72.84337044,Borivali
Fraud,20-08-2023,22:43:08,19.17127152,72.96236609,Mulund
Burglary,12-07-2024,22:43:09,19.06335528,72.8467814,Bandra
Assault,23-11-2023,22:43:09,19.11780973,72.91875346,Ghatkopar
Murder,13-10-2023,22:43:10,19.12606506,72.84537187,Andheri
Theft,13-02-2025,22:43:11,19.17004723,72.95614269,Mulund
Domestic Violence,07-02-2025,22:43:12,19.08469823,72.91457469,Ghatkopar
Murder,05-09-2023,22:43:13,19.02924272,72.82838923,Dadar
Domestic Violence,15-06-2024,22:43:13,19.22332959,72.86035593,Borivali
Assault,24-11-2024,22:43:15,19.2006547,72.9594569,Thane
Burglary,30-03-2024,22:43:15,19.05283436,72.82251786,Bandra
Fraud,14-11-2024,22:43:16,19.07683492,72.82629159,Bandra
Assault,01-12-2023,22:43:17,19.06838055,72.83740306,Bandra
Assault,19-12-2023,22:43:17,19.11516073,72.82405955,Andheri
Fraud,21-03-2023,22:43:18,19.15684954,72.95321545,Mulund
Fraud,25-03-2024,22:43:19,19.02789088,72.83760472,Dadar
Assault,29-01-2024,22:43:20,19.09189327,72.98864116,Navi Mumbai
Assault,01-04-2024,22:43:21,19.00574912,72.82287141,Dadar
Fraud,22-05-2024,22:43:21,19.16205883,72.93688152,Mulund
Fraud,25-05-2023,22:43:22,19.01008943,72.82898792,Dadar
Theft,14-01-2025,22:43:23,19.12153932,72.97078671,Navi Mumbai
Theft,18-11-2024,22:43:24,18.91762987,72.81189014,Colaba
Fraud,29-11-2023,22:43:25,19.06246276,72.82789802,Bandra
Murder,15-03-2024,22:43:26,18.91590515,72.81489608,Colaba
Assault,04-03-2025,22:43:27,19.0290603,72.84407471,Dadar
Burglary,14-04-2024,22:43:27,19.01091301,72.82168642,Dadar
Drug Offense,14-12-2023,22:43:28,19.13309252,72.8552441,Andheri
Murder,17-12-2023,22:43:28,19.17043053,72.95243182,Mulund
Fraud,28-02-2024,22:43:29,19.18524923,72.95287851,Thane
Drug Offense,28-04-2023,22:43:30,19.16003654,72.93027332,Mulund
Drug Offense,02-10-2024,22:43:31,19.20077184,72.86592656,Borivali
Murder,29-07-2024,22:43:32,19.22392548,72.83924722,Borivali
Murder,19-06-2023,22:43:33,19.06449487,72.84076703,Bandra
Theft,24-07-2024,22:43:34,19.02307243,72.82136316,Dadar
Assault,06-03-2024,22:43:35,19.08094916,72.93887185,Ghatkopar
Assault,07-06-2023,22:43:36,19.06315782,72.84712598,Bandra
Fraud,02-12-2023,22:43:37,18.90669918,72.8022289,Colaba
Burglary,02-10-2024,22:43:38,19.13899325,72.86095866,Andheri
Domestic Violence,04-08-2024,22:43:39,19.16833352,72.93274983,Mulund
Burglary,15-01-2024,22:43:40,19.17187897,72.97380745,Thane
Burglary,14-01-2025,22:43:41,19.13877525,72.84510899,Andheri
Domestic Violence,18-08-2023,22:43:42,19.01668411,72.82178929,Dadar
Assault,22-06-2024,22:43:43,18.91864926,72.82640378,Colaba
Assault,05-10-2024,22:43:43,19.05075502,72.84958849,Bandra
Drug Offense,28-10-2023,22:43:44,19.15251882,72.93764919,Mulund
Assault,24-07-2023,22:43:45,19.15396688,72.93331507,Mulund
Theft,03-01-2025,22:43:46,19.07695064,72.95549289,Navi Mumbai
Drug Offense,20-04-2023,22:43:48,19.08614994,72.91705813,Ghatkopar
Theft,26-08-2024,22:43:49,19.11751068,72.83741785,Andheri
Domestic Violence,29-06-2024,22:43:49,19.22344231,72.84856706,Borivali
Fraud,15-08-2023,22:43:55,19.11654655,72.91283048,Ghatkopar
Murder,02-09-2024,22:43:56,19.13972886,72.97201641,Navi Mumbai
Murder,25-04-2024,22:43:57,18.92931587,72.82397144,Colaba
Murder,28-03-2024,22:43:58,19.10480625,72.9133015,Ghatkopar
Fraud,21-01-2025,22:43:59,19.03841328,72.98391928,Navi Mumbai
Fraud,02-06-2024,22:44:02,19.17529049,72.94605686,Mulund
Theft,19-11-2024,22:44:03,19.21306335,72.99554606,Thane
Theft,28-10-2023,22:44:03,19.05985818,72.84556585,Bandra
Burglary,21-03-2023,22:44:04,19.20179283,72.99442276,Thane
Murder,02-04-2023,22:44:05,19.19969117,72.96911259,Thane
Drug Offense,10-12-2023,22:44:06,19.00457934,72.83058725,Dadar
Theft,02-07-2024,22:44:07,19.21629728,72.99318209,Thane
Domestic Violence,15-06-2024,22:44:08,19.21311633,72.8410266,Borivali
Burglary,05-10-2024,22:44:09,19.15523188,72.9467592,Mulund
Domestic Violence,26-04-2024,22:44:10,19.07902988,72.82869324,Bandra
Theft,23-09-2024,22:44:11,19.15022799,72.96197423,Mulund
Burglary,28-07-2023,22:44:11,19.01427743,72.83235404,Dadar
Fraud,08-02-2024,22:44:12,19.1838918,72.9545692,Thane
Theft,11-02-2025,22:44:13,18.91581864,72.80300701,Colaba
Theft,20-03-2024,22:44:14,19.17452536,72.963322,Mulund
Fraud,26-05-2023,22:44:16,18.91491655,72.81834893,Colaba
Burglary,28-08-2024,22:44:17,19.08526447,72.90602247,Ghatkopar
Fraud,01-10-2024,22:44:17,19.21227061,72.84297762,Borivali
Burglary,27-01-2025,22:44:18,19.08797936,72.90744058,Ghatkopar
Fraud,23-06-2023,22:44:19,19.21649945,72.86573553,Borivali
Domestic Violence,23-10-2023,22:44:20,19.16063856,72.94744536,Mulund
Theft,28-12-2023,22:44:21,18.90320445,72.81656343,Colaba
Drug Offense,19-04-2023,22:44:26,19.05529924,72.84668507,Bandra
Murder,31-08-2024,22:44:27,19.18046181,72.96575272,Thane
Fraud,08-12-2023,22:44:28,19.06969039,72.82024586,Bandra
Assault,07-09-2024,22:44:29,18.92608679,72.82140247,Colaba
Burglary,18-06-2023,22:44:31,19.01428028,72.84397591,Dadar
Assault,25-06-2024,22:44:32,19.17812739,72.95271412,Mulund
Theft,14-03-2024,22:44:33,19.09472735,72.93018012,Ghatkopar
Burglary,04-06-2023,22:44:33,19.00632304,72.95456609,Navi Mumbai
Murder,25-12-2024,22:44:34,19.17763774,72.96824297,Thane
Drug Offense,09-06-2023,22:44:35,19.23696126,72.8690227,Borivali
Burglary,02-10-2023,22:44:36,19.01211437,72.99551977,Navi Mumbai
Murder,14-04-2023,22:44:37,19.16016418,72.94101722,Mulund
Drug Offense,21-11-2024,22:44:38,19.20269736,72.95927287,Thane
Fraud,11-06-2023,22:44:39,19.00276242,72.83648067,Dadar
Theft,29-04-2023,22:44:40,19.02844746,72.82031091,Dadar
Assault,07-03-2025,22:44:41,19.17156152,72.95829692,Thane
Murder,17-11-2023,22:44:42,19.17804185,72.93384862,Mulund
Assault,26-03-2023,22:44:42,19.01235817,72.82607239,Dadar
Assault,03-09-2023,22:44:44,19.22239625,72.8412272,Borivali
Murder,17-04-2024,22:44:44,19.06390041,72.83583055,Bandra
Domestic Violence,18-05-2023,22:44:45,19.18202108,72.98492538,Thane
Drug Offense,11-04-2023,22:44:46,19.18889628,72.96981647,Thane
Fraud,08-12-2024,22:44:47,19.0933246,72.90303687,Ghatkopar
Domestic Violence,09-07-2024,22:44:48,19.1320212,72.9515205,Navi Mumbai
Domestic Violence,15-07-2024,22:44:49,19.18089009,72.96985418,Thane
Burglary,19-04-2023,22:44:49,19.03664113,72.98530582,Navi Mumbai
Murder,05-06-2024,22:44:51,18.90766012,72.81446514,Colaba
Burglary,22-01-2024,22:44:57,19.09626764,72.92278562,Ghatkopar
Drug Offense,17-01-2025,22:44:57,19.20498562,72.83235669,Borivali
Fraud,30-09-2024,22:44:58,19.17115333,72.94413903,Mulund
Domestic Violence,29-05-2023,22:44:59,19.14051753,72.96842739,Navi Mumbai
